1888.24 10285.57 2016-11-09 11:18:38
1817.19 10285.57 2016-11-09 11:23:48
1923.23 10285.57 2016-11-09 11:28:58
1834.59 10285.57 2016-11-09 11:34:08
1697.88 10285.57 2016-11-09 11:39:17
1686.51 10285.57 2016-11-09 11:44:38
1976.76 10285.57 2016-11-09 11:49:48
2110.47 10285.57 2016-11-09 11:54:58
2116.72 10285.57 2016-11-09 12:00:09
2217.23 10285.57 2016-11-09 12:05:18
1967.23 10285.57 2016-11-09 12:10:28
2046.28 10285.57 2016-11-09 12:15:40
2135.92 10285.57 2016-11-09 12:21:05
2135.92 10285.57 2016-11-09 12:26:18
2278.36 10285.57 2016-11-09 12:31:28
2558.77 10285.57 2016-11-09 12:36:51
2514.08 10285.57 2016-11-09 12:42:01
2218.46 10285.57 2016-11-09 12:47:11
1870.55 10285.57 2016-11-09 12:52:21
1725.21 10285.57 2016-11-09 12:57:31
1751.66 10285.57 2016-11-09 13:02:40
1705.13 10285.57 2016-11-09 13:07:51
1813.41 10285.57 2016-11-09 13:13:01
1924.73 10285.57 2016-11-09 13:18:10
1922.41 10285.57 2016-11-09 13:23:21
1643.87 10285.57 2016-11-09 13:28:30
1582.08 10285.57 2016-11-09 13:33:40
1575.15 10285.57 2016-11-09 13:38:50
1664.28 10285.57 2016-11-09 13:44:00
1580.17 10285.57 2016-11-09 13:49:11
1621.72 10285.57 2016-11-09 13:54:20
1660.17 10285.57 2016-11-09 13:59:30
1942.4 10285.57 2016-11-09 14:04:40
2168.01 10285.57 2016-11-09 14:09:51
2201.46 10285.57 2016-11-09 14:15:01
2186.01 10285.57 2016-11-09 14:20:11
2236.05 10285.57 2016-11-09 14:25:21
2374.16 10285.57 2016-11-09 14:30:31
2271.71 10285.57 2016-11-09 14:35:54
2270.42 10285.57 2016-11-09 14:41:04
2786.61 10285.57 2016-11-09 14:46:14
2949.93 10285.57 2016-11-09 14:51:24
3389.83 10285.57 2016-11-09 14:56:34
2866.73 10285.57 2016-11-09 15:01:44
2314.57 10285.57 2016-11-09 15:06:54
2091.42 10285.57 2016-11-09 15:12:04
2387.96 10285.57 2016-11-09 15:17:13
2102.96 10285.57 2016-11-09 15:22:24
1613.42 10285.57 2016-11-09 15:27:33
1413.07 10285.57 2016-11-09 15:32:43
1352.37 10285.57 2016-11-09 15:37:53
1534.63 10285.57 2016-11-09 15:43:03
1756.78 10285.57 2016-11-09 15:48:12
1525.82 10285.57 2016-11-09 15:53:22
1514.45 10285.57 2016-11-09 15:58:32
1566.18 10285.57 2016-11-09 16:03:42
1549.79 10285.57 2016-11-09 16:08:52
1318.38 10285.57 2016-11-09 16:14:03
1337.71 10285.57 2016-11-09 16:19:12
1418.76 10285.57 2016-11-09 16:24:22
1353.33 10285.57 2016-11-09 16:29:32
1450.27 10285.57 2016-11-09 16:34:42
1474.82 10285.57 2016-11-09 16:39:52
1651.99 10285.57 2016-11-09 16:45:02
1804.76 10285.57 2016-11-09 16:50:12
1549.41 10285.57 2016-11-09 16:55:21
1570.77 10285.57 2016-11-09 17:00:31
1505.81 10285.57 2016-11-09 17:05:42
1579.44 10285.57 2016-11-09 17:10:52
1543.86 10285.57 2016-11-09 17:16:02
1395.41 10285.57 2016-11-09 17:21:12
1337.81 10285.57 2016-11-09 17:26:22
1557.09 10285.57 2016-11-09 17:31:32
1749.74 10285.57 2016-11-09 17:36:55
1508.54 10285.57 2016-11-09 17:42:15
1476.78 10285.57 2016-11-09 17:47:24
1549.24 10285.57 2016-11-09 17:52:34
1590.76 10285.57 2016-11-09 17:57:44
1438.24 10285.57 2016-11-09 18:02:54
1408.92 10285.57 2016-11-09 18:08:04
1528.69 10285.57 2016-11-09 18:13:14
1638.33 10285.57 2016-11-09 18:18:24
1808.66 10285.57 2016-11-09 18:23:44
1978.16 10285.57 2016-11-09 18:28:53
2197.62 10285.57 2016-11-09 18:34:03
2233.47 10285.57 2016-11-09 18:39:13
2315.59 10285.57 2016-11-09 18:44:23
2396.38 10285.57 2016-11-09 18:49:33
2539.7 10285.57 2016-11-09 18:54:43
2375.22 10285.57 2016-11-09 18:59:53
2415.86 10285.57 2016-11-09 19:05:16
2386.95 10285.57 2016-11-09 19:10:26
2287.58 10285.57 2016-11-09 19:15:35
2075.82 10285.57 2016-11-09 19:20:46
1998.36 10285.57 2016-11-09 19:25:56
1601.85 10285.57 2016-11-09 19:31:06
1535.53 10285.57 2016-11-09 19:36:16
1370.57 10285.57 2016-11-09 19:41:26
1316.88 10285.57 2016-11-09 19:46:36
1229.5 10285.57 2016-11-09 19:51:46
1043.73 10285.57 2016-11-09 19:56:56
1006.98 10285.57 2016-11-09 20:02:06
994.82 10285.57 2016-11-09 20:07:17
972.73 10285.57 2016-11-09 20:12:26
941.77 10285.57 2016-11-09 20:17:36
949.83 10285.57 2016-11-09 20:22:46
891.72 10285.57 2016-11-09 20:27:56
1041.73 10285.57 2016-11-09 20:33:06
1167.11 10285.57 2016-11-09 20:38:16
1159.4 10285.57 2016-11-09 20:43:26
1195.83 10285.57 2016-11-09 20:48:36
1320.56 10285.57 2016-11-09 20:53:46
